{'loss': 1.9009, 'grad_norm': 0.7252843379974365, 'learning_rate': 4.8e-05, 'epoch': 0.044444444444444446, 'step': 25, 'perplexity': 6.691914455877089}
{'eval_loss': 0.14506493508815765, 'eval_runtime': 10.6717, 'eval_samples_per_second': 46.853, 'eval_steps_per_second': 46.853, 'epoch': 0.35555555555555557, 'step': 200}
{'loss': 0.0811, 'grad_norm': 0.36425888538360596, 'learning_rate': 9.724481422989442e-05, 'epoch': 0.4, 'step': 225, 'perplexity': 1.0844793390784522}
{'loss': 0.0738, 'grad_norm': 0.2940180003643036, 'learning_rate': 9.640651396125745e-05, 'epoch': 0.4444444444444444, 'step': 250, 'perplexity': 1.076591465669821}
{'eval_loss': 0.10783790796995163, 'eval_runtime': 10.6919, 'eval_samples_per_second': 46.764, 'eval_steps_per_second': 46.764, 'epoch': 0.4444444444444444, 'step': 250}
{'loss': 0.0672, 'grad_norm': 0.3430432379245758, 'learning_rate': 9.546167246538942e-05, 'epoch': 0.4888888888888889, 'step': 275, 'perplexity': 1.0695093586575706}
{'loss': 0.0639, 'grad_norm': 0.30714520812034607, 'learning_rate': 9.441245893286113e-05, 'epoch': 0.5333333333333333, 'step': 300, 'perplexity': 1.0659857948519134}
{'eval_loss': 0.11234106123447418, 'eval_runtime': 11.2002, 'eval_samples_per_second': 44.642, 'eval_steps_per_second': 44.642, 'epoch': 0.5333333333333333, 'step': 300}
{'loss': 0.0722, 'grad_norm': 0.5919742584228516, 'learning_rate': 9.326128217415717e-05, 'epoch': 0.5777777777777777, 'step': 325, 'perplexity': 1.0748702966271662}
{'loss': 0.0697, 'grad_norm': 0.29958105087280273, 'learning_rate': 9.201078508946896e-05, 'epoch': 0.6222222222222222, 'step': 350, 'perplexity': 1.0721864770578824}
{'eval_loss': 0.08656108379364014, 'eval_runtime': 10.7035, 'eval_samples_per_second': 46.714, 'eval_steps_per_second': 46.714, 'epoch': 0.6222222222222222, 'step': 350}
{'loss': 0.0671, 'grad_norm': 0.20192880928516388, 'learning_rate': 9.066383860105894e-05, 'epoch': 0.6666666666666666, 'step': 375, 'perplexity': 1.0694024130690734}
{'loss': 0.0605, 'grad_norm': 0.20809300243854523, 'learning_rate': 8.922353506212577e-05, 'epoch': 0.7111111111111111, 'step': 400, 'perplexity': 1.062367597570325}
{'eval_loss': 0.08219292014837265, 'eval_runtime': 10.668, 'eval_samples_per_second': 46.869, 'eval_steps_per_second': 46.869, 'epoch': 0.7111111111111111, 'step': 400}
{'loss': 0.0661, 'grad_norm': 0.2694697976112366, 'learning_rate': 8.76931811573033e-05, 'epoch': 0.7555555555555555, 'step': 425, 'perplexity': 1.0683335451790215}
{'loss': 0.0674, 'grad_norm': 0.2406272292137146, 'learning_rate': 8.607629031109161e-05, 'epoch': 0.8, 'step': 450, 'perplexity': 1.0697232819209153}
{'eval_loss': 0.09588557481765747, 'eval_runtime': 11.1685, 'eval_samples_per_second': 44.769, 'eval_steps_per_second': 44.769, 'epoch': 0.8, 'step': 450}
{'loss': 0.0648, 'grad_norm': 0.31821706891059875, 'learning_rate': 8.437657462165003e-05, 'epoch': 0.8444444444444444, 'step': 475, 'perplexity': 1.0669456139210736}
{'loss': 0.0639, 'grad_norm': 0.482835978269577, 'learning_rate': 8.25979363384698e-05, 'epoch': 0.8888888888888888, 'step': 500, 'perplexity': 1.0659857948519134}
{'eval_loss': 0.08783433586359024, 'eval_runtime': 10.7523, 'eval_samples_per_second': 46.502, 'eval_steps_per_second': 46.502, 'epoch': 0.8888888888888888, 'step': 500}
{'loss': 0.0626, 'grad_norm': 0.23700964450836182, 'learning_rate': 8.074445890349291e-05, 'epoch': 0.9333333333333333, 'step': 525, 'perplexity': 1.064600913686401}
{'loss': 0.0646, 'grad_norm': 0.10825465619564056, 'learning_rate': 7.88203975762446e-05, 'epoch': 0.9777777777777777, 'step': 550, 'perplexity': 1.066732246135779}
{'eval_loss': 0.07927961647510529, 'eval_runtime': 10.7715, 'eval_samples_per_second': 46.419, 'eval_steps_per_second': 46.419, 'epoch': 0.9777777777777777, 'step': 550}
{'loss': 0.064, 'grad_norm': 0.32050639390945435, 'learning_rate': 7.683016966450291e-05, 'epoch': 1.0213333333333334, 'step': 575, 'perplexity': 1.0660923987615052}
{'loss': 0.0668, 'grad_norm': 0.15201351046562195, 'learning_rate': 7.477834438293381e-05, 'epoch': 1.0657777777777777, 'step': 600, 'perplexity': 1.0690816404634491}
{'eval_loss': 0.09253440797328949, 'eval_runtime': 11.1225, 'eval_samples_per_second': 44.954, 'eval_steps_per_second': 44.954, 'epoch': 1.0657777777777777, 'step': 600}
{'loss': 0.0639, 'grad_norm': 0.30651572346687317, 'learning_rate': 7.266963236297457e-05, 'epoch': 1.1102222222222222, 'step': 625, 'perplexity': 1.0659857948519134}
{'loss': 0.064, 'grad_norm': 0.329631507396698, 'learning_rate': 7.050887483804926e-05, 'epoch': 1.1546666666666667, 'step': 650, 'perplexity': 1.0660923987615052}
{'eval_loss': 0.08984533697366714, 'eval_runtime': 10.8549, 'eval_samples_per_second': 46.062, 'eval_steps_per_second': 46.062, 'epoch': 1.1546666666666667, 'step': 650}
{'loss': 0.0647, 'grad_norm': 0.2890382707118988, 'learning_rate': 6.830103252894477e-05, 'epoch': 1.199111111111111, 'step': 675, 'perplexity': 1.0668389246942316}
{'loss': 0.0586, 'grad_norm': 0.2752394676208496, 'learning_rate': 6.605117425486482e-05, 'epoch': 1.2435555555555555, 'step': 700, 'perplexity': 1.0603510154945683}
{'eval_loss': 0.08266061544418335, 'eval_runtime': 10.7816, 'eval_samples_per_second': 46.375, 'eval_steps_per_second': 46.375, 'epoch': 1.2435555555555555, 'step': 700}
{'loss': 0.0651, 'grad_norm': 0.17610210180282593, 'learning_rate': 6.376446529630898e-05, 'epoch': 1.288, 'step': 725, 'perplexity': 1.067265745622604}
{'loss': 0.0629, 'grad_norm': 0.18338172137737274, 'learning_rate': 6.144615553649336e-05, 'epoch': 1.3324444444444445, 'step': 750, 'perplexity': 1.064920341872339}
{'eval_loss': 0.08501005917787552, 'eval_runtime': 10.9195, 'eval_samples_per_second': 45.79, 'eval_steps_per_second': 45.79, 'epoch': 1.3324444444444445, 'step': 750}
{'loss': 0.0664, 'grad_norm': 0.16416393220424652, 'learning_rate': 5.910156740853842e-05, 'epoch': 1.3768888888888888, 'step': 775, 'perplexity': 1.0686540933223927}
{'loss': 0.062, 'grad_norm': 0.36970141530036926, 'learning_rate': 5.673608367609484e-05, 'epoch': 1.4213333333333333, 'step': 800, 'perplexity': 1.0639623447280337}
{'eval_loss': 0.08585111796855927, 'eval_runtime': 10.8019, 'eval_samples_per_second': 46.288, 'eval_steps_per_second': 46.288, 'epoch': 1.4213333333333333, 'step': 800}
{'loss': 0.0648, 'grad_norm': 0.2574627697467804, 'learning_rate': 5.435513507546096e-05, 'epoch': 1.4657777777777778, 'step': 825, 'perplexity': 1.0669456139210736}
{'loss': 0.0651, 'grad_norm': 0.38865235447883606, 'learning_rate': 5.1964187847563573e-05, 'epoch': 1.5102222222222221, 'step': 850, 'perplexity': 1.067265745622604}
{'eval_loss': 0.08240468055009842, 'eval_runtime': 10.7696, 'eval_samples_per_second': 46.427, 'eval_steps_per_second': 46.427, 'epoch': 1.5102222222222221, 'step': 850}
{'loss': 0.0661, 'grad_norm': 0.15682917833328247, 'learning_rate': 4.956873118842631e-05, 'epoch': 1.5546666666666666, 'step': 875, 'perplexity': 1.0683335451790215}
{'loss': 0.0624, 'grad_norm': 0.2038760781288147, 'learning_rate': 4.7174264646936946e-05, 'epoch': 1.5991111111111111, 'step': 900, 'perplexity': 1.0643880147942626}
{'eval_loss': 0.08196321129798889, 'eval_runtime': 10.7108, 'eval_samples_per_second': 46.682, 'eval_steps_per_second': 46.682, 'epoch': 1.5991111111111111, 'step': 900}
{'loss': 0.0626, 'grad_norm': 0.2339940369129181, 'learning_rate': 4.4786285498846645e-05, 'epoch': 1.6435555555555554, 'step': 925, 'perplexity': 1.064600913686401}
{'loss': 0.0619, 'grad_norm': 0.12059958279132843, 'learning_rate': 4.241027612598766e-05, 'epoch': 1.688, 'step': 950, 'perplexity': 1.0638559538131953}
{'eval_loss': 0.07928907871246338, 'eval_runtime': 10.7698, 'eval_samples_per_second': 46.426, 'eval_steps_per_second': 46.426, 'epoch': 1.688, 'step': 950}
{'loss': 0.0641, 'grad_norm': 0.7296125292778015, 'learning_rate': 4.005169142968503e-05, 'epoch': 1.7324444444444445, 'step': 975, 'perplexity': 1.0661990133320212}
{'loss': 0.0578, 'grad_norm': 0.12339692562818527, 'learning_rate': 3.7715946307258574e-05, 'epoch': 1.7768888888888887, 'step': 1000, 'perplexity': 1.0595030739040325}
{'eval_loss': 0.07642388343811035, 'eval_runtime': 10.7647, 'eval_samples_per_second': 46.448, 'eval_steps_per_second': 46.448, 'epoch': 1.7768888888888887, 'step': 1000}
{'loss': 0.0636, 'grad_norm': 0.38247179985046387, 'learning_rate': 3.5408403220367256e-05, 'epoch': 1.8213333333333335, 'step': 1025, 'perplexity': 1.065666047078022}
{'loss': 0.0631, 'grad_norm': 0.15679652988910675, 'learning_rate': 3.3134359883736444e-05, 'epoch': 1.8657777777777778, 'step': 1050, 'perplexity': 1.0651333472405402}
{'eval_loss': 0.08556210249662399, 'eval_runtime': 11.0291, 'eval_samples_per_second': 45.335, 'eval_steps_per_second': 45.335, 'epoch': 1.8657777777777778, 'step': 1050}
{'loss': 0.0601, 'grad_norm': 0.3308069705963135, 'learning_rate': 3.089903710253292e-05, 'epoch': 1.9102222222222223, 'step': 1075, 'perplexity': 1.0619427355093738}
{'loss': 0.0606, 'grad_norm': 0.272296279668808, 'learning_rate': 2.870756678631073e-05, 'epoch': 1.9546666666666668, 'step': 1100, 'perplexity': 1.062473839642097}
{'eval_loss': 0.08371923118829727, 'eval_runtime': 10.9853, 'eval_samples_per_second': 45.516, 'eval_steps_per_second': 45.516, 'epoch': 1.9546666666666668, 'step': 1100}
{'loss': 0.0603, 'grad_norm': 0.34861013293266296, 'learning_rate': 2.6564980167045718e-05, 'epoch': 1.999111111111111, 'step': 1125, 'perplexity': 1.0621551452967464}
{'loss': 0.0602, 'grad_norm': 0.26527562737464905, 'learning_rate': 2.447619624830831e-05, 'epoch': 2.042666666666667, 'step': 1150, 'perplexity': 1.0620489350928155}
{'eval_loss': 0.08436036854982376, 'eval_runtime': 10.7835, 'eval_samples_per_second': 46.367, 'eval_steps_per_second': 46.367, 'epoch': 2.042666666666667, 'step': 1150}
{'loss': 0.0656, 'grad_norm': 0.20832248032093048, 'learning_rate': 2.244601051209288e-05, 'epoch': 2.087111111111111, 'step': 1175, 'perplexity': 1.067799511925871}
{'loss': 0.0552, 'grad_norm': 0.2021510750055313, 'learning_rate': 2.0479083909231094e-05, 'epoch': 2.1315555555555554, 'step': 1200, 'perplexity': 1.0567519439306505}
{'eval_loss': 0.07323790341615677, 'eval_runtime': 10.5849, 'eval_samples_per_second': 47.237, 'eval_steps_per_second': 47.237, 'epoch': 2.1315555555555554, 'step': 1200}
{'loss': 0.0608, 'grad_norm': 0.31978052854537964, 'learning_rate': 1.857993215866531e-05, 'epoch': 2.176, 'step': 1225, 'perplexity': 1.062686355660919}
{'loss': 0.0634, 'grad_norm': 0.28959426283836365, 'learning_rate': 1.675291538014877e-05, 'epoch': 2.2204444444444444, 'step': 1250, 'perplexity': 1.0654529351805067}
{'eval_loss': 0.07766804844141006, 'eval_runtime': 10.7451, 'eval_samples_per_second': 46.533, 'eval_steps_per_second': 46.533, 'epoch': 2.2204444444444444, 'step': 1250}
{'loss': 0.0648, 'grad_norm': 0.17413246631622314, 'learning_rate': 1.500222808417452e-05, 'epoch': 2.2648888888888887, 'step': 1275, 'perplexity': 1.0669456139210736}
{'loss': 0.0566, 'grad_norm': 0.23718561232089996, 'learning_rate': 1.3331889542113963e-05, 'epoch': 2.3093333333333335, 'step': 1300, 'perplexity': 1.0582324327525154}
{'eval_loss': 0.07782447338104248, 'eval_runtime': 10.6401, 'eval_samples_per_second': 46.992, 'eval_steps_per_second': 46.992, 'epoch': 2.3093333333333335, 'step': 1300}
{'loss': 0.0626, 'grad_norm': 0.1681669056415558, 'learning_rate': 1.1745734558673821e-05, 'epoch': 2.3537777777777777, 'step': 1325, 'perplexity': 1.064600913686401}
{'loss': 0.0621, 'grad_norm': 0.3306382894515991, 'learning_rate': 1.0247404667856347e-05, 'epoch': 2.398222222222222, 'step': 1350, 'perplexity': 1.0640687462824956}
{'eval_loss': 0.07995002716779709, 'eval_runtime': 10.8102, 'eval_samples_per_second': 46.253, 'eval_steps_per_second': 46.253, 'epoch': 2.398222222222222, 'step': 1350}
{'loss': 0.0599, 'grad_norm': 0.18960103392601013, 'learning_rate': 8.840339772635003e-06, 'epoch': 2.4426666666666668, 'step': 1375, 'perplexity': 1.0617303681997108}
{'loss': 0.0605, 'grad_norm': 0.5021197199821472, 'learning_rate': 7.5277702475399e-06, 'epoch': 2.487111111111111, 'step': 1400, 'perplexity': 1.062367597570325}
{'eval_loss': 0.08019949495792389, 'eval_runtime': 10.7792, 'eval_samples_per_second': 46.386, 'eval_steps_per_second': 46.386, 'epoch': 2.487111111111111, 'step': 1400}
{'loss': 0.0592, 'grad_norm': 0.158816859126091, 'learning_rate': 6.312709522283633e-06, 'epoch': 2.5315555555555553, 'step': 1425, 'perplexity': 1.0609874170052263}
{'loss': 0.0633, 'grad_norm': 0.1823796182870865, 'learning_rate': 5.1979471634545805e-06, 'epoch': 2.576, 'step': 1450, 'perplexity': 1.0653463952140756}
{'eval_loss': 0.07972122728824615, 'eval_runtime': 10.881, 'eval_samples_per_second': 45.952, 'eval_steps_per_second': 45.952, 'epoch': 2.576, 'step': 1450}
{'loss': 0.0605, 'grad_norm': 0.14232254028320312, 'learning_rate': 4.186042470160617e-06, 'epoch': 2.6204444444444444, 'step': 1475, 'perplexity': 1.062367597570325}
{'loss': 0.0566, 'grad_norm': 0.18468934297561646, 'learning_rate': 3.2793185983266862e-06, 'epoch': 2.664888888888889, 'step': 1500, 'perplexity': 1.0582324327525154}
{'eval_loss': 0.0789501890540123, 'eval_runtime': 10.8261, 'eval_samples_per_second': 46.185, 'eval_steps_per_second': 46.185, 'epoch': 2.664888888888889, 'step': 1500}
{'loss': 0.0599, 'grad_norm': 0.4105775058269501, 'learning_rate': 2.4798572271356846e-06, 'epoch': 2.7093333333333334, 'step': 1525, 'perplexity': 1.0617303681997108}
{'loss': 0.0617, 'grad_norm': 0.14418862760066986, 'learning_rate': 1.7894937798577648e-06, 'epoch': 2.7537777777777777, 'step': 1550, 'perplexity': 1.0636432038981334}
{'eval_loss': 0.08087190240621567, 'eval_runtime': 10.7988, 'eval_samples_per_second': 46.302, 'eval_steps_per_second': 46.302, 'epoch': 2.7537777777777777, 'step': 1550}
{'loss': 0.0643, 'grad_norm': 0.23293742537498474, 'learning_rate': 1.2098132100399506e-06, 'epoch': 2.7982222222222224, 'step': 1575, 'perplexity': 1.0664122744600895}
{'loss': 0.0613, 'grad_norm': 0.2902481257915497, 'learning_rate': 7.42146362730467e-07, 'epoch': 2.8426666666666667, 'step': 1600, 'perplexity': 1.063217831696686}
{'eval_loss': 0.0813947319984436, 'eval_runtime': 10.9018, 'eval_samples_per_second': 45.864, 'eval_steps_per_second': 45.864, 'epoch': 2.8426666666666667, 'step': 1600}
{'loss': 0.0603, 'grad_norm': 0.14411045610904694, 'learning_rate': 3.8756691909160314e-07, 'epoch': 2.887111111111111, 'step': 1625, 'perplexity': 1.0621551452967464}
{'loss': 0.0619, 'grad_norm': 0.16149276494979858, 'learning_rate': 1.4688893141583947e-07, 'epoch': 2.9315555555555557, 'step': 1650, 'perplexity': 1.0638559538131953}
{'eval_loss': 0.08126246184110641, 'eval_runtime': 11.0696, 'eval_samples_per_second': 45.169, 'eval_steps_per_second': 45.169, 'epoch': 2.9315555555555557, 'step': 1650}
{'loss': 0.0598, 'grad_norm': 0.172655388712883, 'learning_rate': 2.0664954204374643e-08, 'epoch': 2.976, 'step': 1675, 'perplexity': 1.0616242004713659}
{'train_runtime': 1189.1614, 'train_samples_per_second': 11.353, 'train_steps_per_second': 1.42, 'total_flos': 1.715310660870144e+16, 'train_loss': 0.12491344738599462, 'epoch': 3.0, 'step': 1689}
